"","unlist(list(FitPars = Fit.pools$par, RMSE_kg = RMSE_kg, AIC = AIC, MAE_SOM = MAE_SOM, MBE_SOM = MBE_SOM, df1 = fit.SOM$fstatistic[2], df2 = fit.SOM$fstatistic[3], Fstat = fit.SOM$fstatistic[1], adjR2 = fit.SOM$adj.r.squared))"
"FitPars.eact_pl",65875.420591911
"FitPars.alpha_pl",1176748263675.63
"FitPars.tae_ref",20.4411299623153
"RMSE_kg",4.02264887628439
"AIC",427.933826685822
"MAE_SOM",3.3036650987886
"MBE_SOM",1.542004931028
"df1.numdf",1
"df2.dendf",151
"Fstat.value",30.6123767498691
"adjR2",0.163052635948119
