SSN,Longitude,Latitude,Region,Country,Site,Cluster,Plot,Depth,Clay_2um,Clay_8um,Clay_20um,Clay_63um,Total_C,CORG,CINORG,Total_N,pH,Am_Ox_Al,Am_Ox_Fe,Am_Ox_Mn,Am_Ox_P,Olsen_P,pbi,Caex,Kex,Mgex,Naex,eCEC,Al,Ca,Co,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,S,Zn,VegStructure,Date,Altitude,Accuracy,SlopeDn,SlopeUp,MajLform,LformDes,PosTopoSeq,ArtSurface,VegCovLT40,PlotFlood,PlotCultMgd,Trees,Shrubs,Graminoids,Forbs,VegOther,Broadleaf,Needleleaf,Allophytic,Evergreen,Deciduous,WdCovRate1,WdCovRate2,WdCovRate3,WdCovRate4,HerbCovRate1,HerbCovRate2,HerbCovRate3,HerbCovRate4,VegStrataDescr,SameLanduse90,UseFoodBeverage,UseForage,UseTimberFuelwood,UseOther,LandUseHistory,RockCover1,RockCover2,RockCover3,RockCover4,Erosion1,Erosion2,Erosion3,Erosion4,SoilConservation,SWCStructures,SWCDescr,AugDepth1,AugDepth2,AugDepth3,AugDepth4,Notes,Delta14C,Delta14C_err,F14C,F14C_err,TurnoverTime,Delta13C,SSN.XRPD,Quartz,Clay_1_1,Clay_2_1,Amorphous,Pedogenic_Oxides,Feldspars,LIG_N,SoilTMP_C,SoilMoi_kgm2,SoilMoi_m3m3,Litterfall.gC.m2.yr,Litterroot.gC.m2.yr,NPP.gC.m2.yr,NPP.gC.m2.d,clay_extracted,bd_extracted,silt_extracted,MAT,MAP,PET,npp_modis,socs,sm,stemp
icr005934,36.09859085,-6.92975998,East Africa,Tanzania,Chinyanghuku,1,4,Topsoil,14.098,33.933,44.389,55.568,0.66,0.66,0,0.07,7.31,1432.736227,1737.144984,259.6945366,55.30301795,6.1,39.89780074,5.58,0.393247185,1.735754415,0.080634622,2.790599606,29534.196,4215.619488,16.07439197,50.77759182,17.3685872,36096.1133,4468.371402,4246.640441,457.369683,144.6674355,24.10590367,198.8628582,5.011335901,73.71458309,33.41106803,Shrubland,15-12-09,858,2.3,12,10,Sloping,Low gradient footslope,Footslope,0,0,0,0,1,1,0,0,0,1,0,0,1,1,2,1,1,1,0,0,0,0,acacia woodland; senegal and tortilis species,Yes,0,1,1,0,severely eroded; cultivated many ago and abandoned; presently grazing land fuelwood and timber,2,2,2,2,Rill,Rill,Rill,Rill,None,0,,40,20,10,15,,NA,NA,NA,NA,NA,NA,icr005928,35.6704,4.4746,0,2.2509,4.7679,39.3138,19.88391681,24.98632622,188.7527632,0.252928703,371.51,244.1154647,615.6254647,1.686645109,24,1.34,13,22.79999999,557,1922,0.8451,1.7688,0.213060722,28.07636261
icr005940,36.09469604,-6.92728519,East Africa,Tanzania,Chinyanghuku,1,8,Topsoil,10.282,31.072,44.707,57.861,1.31,1.31,0,0.13,7,1289.645339,2132.627109,330.130829,154.0360232,14.88,41.27,6.84,0.544391483,2.039024146,0.065589864,3.507147779,27565.44147,5590.238207,19.04722759,37.55763477,18.14255591,30978.76781,5969.220861,6105.195075,525.1102314,187.1415534,25.43334414,344.4548745,5.977996711,127.7419813,44.95955454,Bushland,15-12-09,891,2.6,27,28,Steep,High gradient hill,Midslope,0,0,0,0,1,1,1,1,0,1,0,0,1,1,3,3,3,3,1,1,1,1,acacia woodland with; mellifera; tortilis and comiphora,Yes,0,1,1,0,currently grazing grazing and fuelwood,2,2,2,2,Rill,Rill,Rill,Rill,None,0,,15,10,10,10,,NA,NA,NA,NA,NA,NA,icr005928,35.6704,4.4746,0,2.2509,4.7679,39.3138,17.68110244,24.98632622,188.7527632,0.252928703,371.51,244.9145873,616.4245873,1.688834486,25,1.34,13,22.79999999,557,1922,0.8451,3.5108,0.213060722,28.07636261
icr005950,36.08887863,-6.91137981,East Africa,Tanzania,Chinyanghuku,2,3,Topsoil,2.643,15.736,25.859,35.827,0.65,0.65,0,0.05,7.11,562.0563813,2149.008019,101.9002595,35.7555946,4.52,11.37,3.28,0.221160828,1.342404665,0.048834594,0.096663221,15734.56143,1838.544659,9.139546567,11.72933745,6.110352352,22669.02485,5032.184772,4597.364414,236.0525688,222.0353729,7.599911735,183.200168,3.475053266,62.91450578,44.06966189,Woodland,05-12-09,837,1.5,30,35,Steep,High gradient hill,Midslope,0,0,0,0,1,1,1,1,0,1,0,0,1,1,2,1,3,3,1,1,1,1,comifora pauli dominant ; starculia tree on rocky slope,Yes,0,1,1,0,its a rocy hill with trees and shrubs of starculia and comifora pauli ; mainly for grazing and fuelwood and construction woods,3,3,3,3,Rill,Rill,Rill,Rill,None,0,,15,30,10,17,restrictions at augering,NA,NA,NA,NA,NA,NA,icr005946,41.4731,5.7033,0,3.8535,3.6155,39.0373,20.60163272,24.98632622,188.7527632,0.256703758,371.51,74.30200111,445.8120011,1.221402743,26,1.36,14,23.21666658,553,1972,0.769771429,1.768,0.270209461,29.26870346
icr005952,36.09090042,-6.91000986,East Africa,Tanzania,Chinyanghuku,2,4,Topsoil,8.157,33.857,45.292,55.391,0.69,0.48,0.2,0.04,8.09,1043.324489,665.0036361,174.1101441,5.128538248,4.38,31.72,12.35,0.408641906,2.683929067,0.19793387,12.60504109,24305.44396,9424.773787,8.436478197,22.53007593,8.48755035,17543.31098,2355.477195,3754.105767,281.0567256,189.1636357,13.79550946,86.87543967,4.396235733,72.89148263,28.3858624,Other,05-12-09,794,1.6,2.5,2.5,Level,Valley floor,Footslope,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,boabab trees; acacia tortilis and acacia mellifera,Yes,0,1,1,0,grazing land; on dry river bed; fuelwood and construction woods,2,2,1,1,Gully/Mass,Gully/Mass,Sheet,Rill,None,0,,40,50,40,50,dry river bed but bare,NA,NA,NA,NA,NA,NA,icr005946,41.4731,5.7033,0,3.8535,3.6155,39.0373,18.74832657,24.98632622,188.7527632,0.271803979,371.51,74.0059783,445.5159783,1.220591721,23,1.44,13,23.21666658,553,1972,0.715785714,1.3824,0.270209461,29.26870346
icr005958,36.08447647,-6.90896797,East Africa,Tanzania,Chinyanghuku,2,7,Topsoil,12.975,37.769,49.11,60.272,0.93,0.93,0,0.08,6.91,1013.07213,1172.724868,107.2893258,-7.224922511,2.34,26.44,5.42,0.230375853,3.144671308,0.103262752,5.353163492,24064.31842,2251.883002,7.921625145,22.53377793,6.89550778,18295.70041,2392.934287,2978.348823,208.7765726,186.3693186,11.146063,100.5940486,4.574452584,77.19880624,26.65318619,Other,05-12-09,788,2.1,10,12,Sloping,Low gradient footslope,Footslope,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,woodland on sloppy rocky area with dominant comifora sp acacia senegal,Yes,0,1,1,0,grazing land; fuelwood and timber,3,3,3,3,Rill,Rill,Rill,Rill,None,0,,10,10,10,10,rocky ground,NA,NA,NA,NA,NA,NA,icr005946,41.4731,5.7033,0,3.8535,3.6155,39.0373,18.74832657,24.98632622,188.7527632,0.269916451,371.51,79.73045695,451.2404569,1.236275225,20,1.43,12,23.21666658,553,1972,0.8054,2.6598,0.270209461,29.26870346
icr005971,36.09030914,-6.887218,East Africa,Tanzania,Chinyanghuku,3,4,Topsoil,10.508,30.104,39.437,48.298,1.04,0.98,0.1,0.1,8.29,1215.31642,2900.512129,158.6430709,460.1846526,147.26,143.91,9.59,2.254497378,1.648220691,0.064167325,7.257010531,24915.0009,5135.573024,10.83657563,30.89383965,13.23022572,33792.99554,3798.499662,3287.986053,288.9175831,134.9355654,14.34051242,668.2786122,3.995090528,136.1222724,30.20746845,Cropland,04-12-09,792,1.4,5,3,Level,Plateau,Ridge/Crest,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,2,3,1,1,resently converted land under maize; banned down trees treblers sp herbs few scattered acacia reficiense,No,1,0,1,0,newly converted land by burning under maize crop,1,2,2,1,Sheet,Sheet,Sheet,Sheet,None,0,,35,45,32,35,,49.7,2.1,1.0586,0.0021,120,-17.55,icr005965,20.4237,2.5077,4.8227,3.5693,6.4246,44.1608,9.277812168,24.98632622,188.7527632,0.273691507,371.51,76.90493468,448.4149347,1.228534068,22,1.45,13,23.82083333,551,2032,0.702485714,2.842,0.270209461,29.26870346
icr005973,36.0957,-6.87997,East Africa,Tanzania,Chinyanghuku,3,5,Topsoil,10.274,27.801,37.274,47.044,1.29,0.99,0.3,0.1,8.34,1148.103095,1498.575596,182.8727562,450.9131307,29.14,54.06,10.02,0.837308236,1.285368204,0.070969048,7.405204269,25467.40998,16208.38523,14.01189418,28.01092752,15.79549084,31448.98175,7410.583093,8117.055536,458.4883158,253.7173737,11.33820411,786.2722092,4.246149512,146.2387375,49.94503013,Shrubland,04-12-09,0,0,3,5,Sloping,Medium gradient hill,Midslope,0,0,0,0,1,1,0,1,0,1,0,0,1,1,2,2,2,2,1,1,1,1,shrubland dominated by acacia tortilis; reficiens on a rocky site,Yes,0,1,1,0,presently grazing land,2,2,2,2,Rill,Rill,Rill,Rill,None,0,,10,16,10,36,,NA,NA,NA,NA,NA,NA,icr005965,20.4237,2.5077,4.8227,3.5693,6.4246,44.1608,19.88391681,24.98632622,188.7527632,0.268028924,371.51,76.58821303,448.098213,1.227666337,22,1.42,13,23.66249998,549,2002,0.776328571,2.8116,0.213060722,28.07636261
icr005975,36.0976,-6.88609,East Africa,Tanzania,Chinyanghuku,3,6,Topsoil,12.959,38.023,52.713,76.419,1.23,1.22,0,0.11,7.74,1224.840368,1805.669395,328.0174421,79.83297145,12.84,40.76,9.05,0.759294403,2.530347226,0.063840645,10.5333342,34689.94937,5568.968483,15.35180115,40.23019417,18.76647587,31304.41721,7652.478975,7321.443911,596.3297318,152.3387657,18.10478616,240.3091223,7.268850919,105.290347,48.21857353,Cropland,04-12-09,0,0,2,3,Level,Dissected plain,Bottomland,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,agricultural field,No,1,1,0,0,currently fallow previously under maize,1,1,1,1,Sheet,Sheet,Sheet,Sheet,None,0,,40,30,50,30,,NA,NA,NA,NA,NA,NA,icr005965,20.4237,2.5077,4.8227,3.5693,6.4246,44.1608,9.277812168,24.98632622,188.7527632,0.264253868,371.51,82.16086326,453.6708633,1.242933872,25,1.4,18,23.70833341,552,2011,0.708842857,3.416,0.213060722,28.07636261
icr005977,36.09513855,-6.88887692,East Africa,Tanzania,Chinyanghuku,3,7,Topsoil,34.842,73.394,86.78,98.471,0.75,0.75,0,0.08,7.35,1911.783494,3839.063359,567.5204373,55.08047225,5.04,64.65,13.83,0.482651777,7.082800858,1.330304489,22.30735637,64085.39693,4609.22239,22.62037912,73.51632578,30.02380118,53516.34713,10261.76632,10606.47158,900.5291243,551.3584448,34.54053136,227.2781525,12.70781617,97.18430454,68.34337857,Other,04-12-09,769,1.4,1,1,Level,Plain,Bottomland,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,flood plains looking bare with scattered acacia tortilis and a few carparies sp,No,0,1,0,0,ifad's conserved land for irrigation but not yet in use,1,1,1,1,Sheet,Sheet,Sheet,Sheet,None,0,,37,36,27,40,hard pan soils,NA,NA,NA,NA,NA,NA,icr005965,20.4237,2.5077,4.8227,3.5693,6.4246,44.1608,13.50224601,24.98632622,188.7527632,0.269916451,371.51,83.40020306,454.9102031,1.246329323,24,1.43,14,23.70833341,552,2011,0.708842857,2.145,0.213060722,28.07636261
icr005981,36.08917236,-6.88493204,East Africa,Tanzania,Chinyanghuku,3,9,Topsoil,19.884,41.843,51.719,60.507,0.53,0.52,0,0.05,7.97,1467.16887,1602.159645,298.3154749,12.67351886,3.82,33.15,9.1,0.261442199,2.025861863,0.067357803,9.687874061,29026.50144,6244.828027,17.50284482,50.72469076,15.81863609,27597.78479,2486.128338,3298.087757,473.986579,163.7874716,23.17315751,150.2851342,3.276531009,58.91616909,27.08922785,Shrubland,04-12-09,781,1.5,3,5,Sloping,Plateau,Ridge/Crest,0,0,0,0,1,1,1,1,0,1,0,0,1,1,2,2,2,2,1,1,2,2,shrubland with scattered trees and acacia senegal and acacia seyal,Yes,0,1,1,0,forage severely eroded,2,2,2,2,Sheet,Rill,Rill,Rill,None,0,,40,25,30,20,,NA,NA,NA,NA,NA,NA,icr005965,20.4237,2.5077,4.8227,3.5693,6.4246,44.1608,19.88391681,24.98632622,188.7527632,0.277466562,371.51,79.60928651,451.1192865,1.235943251,20,1.47,11,23.82083333,551,2032,0.779128571,1.5288,0.270209461,29.26870346
