"","SSN","Soil_Organic_Carbon_kg_m2","Type"
"1","icr005934",12.5507760079613,"MIMICS"
"2","icr005940",11.5375669333199,"MIMICS"
"3","icr005950",9.51072542495723,"MIMICS"
"4","icr005952",10.0320897686697,"MIMICS"
"5","icr005958",11.5674799469352,"MIMICS"
"6","icr005971",9.51633415483524,"MIMICS"
"7","icr005973",11.2871417615771,"MIMICS"
"8","icr005975",10.3052976326534,"MIMICS"
"9","icr005977",15.2347452478215,"MIMICS"
"10","icr005981",12.8185130233374,"MIMICS"
"11","icr005987",11.2770063571478,"MIMICS"
"12","icr005988",10.5355912669673,"MIMICS"
"13","icr005989",11.6313666695045,"MIMICS"
"14","icr005990",10.8146973336421,"MIMICS"
"15","icr005995",13.0642642185578,"MIMICS"
"16","icr005997",11.752255517229,"MIMICS"
"17","icr006000",11.9731836584604,"MIMICS"
"18","icr006010",12.7015519232712,"MIMICS"
"19","icr006021",11.3594659520289,"MIMICS"
"20","icr006027",12.7057454045658,"MIMICS"
"21","icr006041",8.40837268031165,"MIMICS"
"22","icr006058",9.35292531448511,"MIMICS"
"23","icr006084",11.9319654735258,"MIMICS"
"24","icr006099",16.2603940022964,"MIMICS"
"25","icr006115",11.4645565500295,"MIMICS"
"26","icr006130",13.0146523830538,"MIMICS"
"27","icr006139",13.2053084844009,"MIMICS"
"28","icr006145",15.8469448443187,"MIMICS"
"29","icr006162",10.2532312988787,"MIMICS"
"30","icr006166",14.2138014917187,"MIMICS"
"31","icr006175",10.5367628503934,"MIMICS"
"32","icr006176",10.3985379592354,"MIMICS"
"33","icr006185",12.5505228742126,"MIMICS"
"34","icr006192",14.7271087025096,"MIMICS"
"35","icr006454",12.0592775696463,"MIMICS"
"36","icr006474",9.51601592408448,"MIMICS"
"37","icr006492",13.8263983965853,"MIMICS"
"38","icr006510",10.2688741389753,"MIMICS"
"39","icr006530",13.7319479743563,"MIMICS"
"40","icr006570",13.7244832338037,"MIMICS"
"41","icr006586",11.6285401875522,"MIMICS"
"42","icr006626",9.36396486806189,"MIMICS"
"43","icr006684",8.81461102027061,"MIMICS"
"44","icr006704",21.0954355438752,"MIMICS"
"45","icr006744",10.2019138598909,"MIMICS"
"46","icr007987",13.693617569988,"MIMICS"
"47","icr010535",1.53537062462986,"MIMICS"
"48","icr015592",14.2247395328241,"MIMICS"
"49","icr020848",8.13417444832625,"MIMICS"
"50","icr020868",9.08188591823774,"MIMICS"
"51","icr020888",9.07878787110126,"MIMICS"
"52","icr020908",11.3783939995128,"MIMICS"
"53","icr020947",9.12706246328083,"MIMICS"
"54","icr020970",9.8330745647276,"MIMICS"
"55","icr020986",9.46140785530617,"MIMICS"
"56","icr021023",12.9221213843714,"MIMICS"
"57","icr021063",10.0687784509715,"MIMICS"
