"Set","Soil_Organic_Carbon_kg_m2","Type"
1,8.98048201315033,"MIMICS"
2,8.25191496250591,"MIMICS"
3,6.88042064406852,"MIMICS"
4,7.2392938159724,"MIMICS"
5,8.26448472548208,"MIMICS"
6,6.73690681346675,"MIMICS"
7,8.13895672734091,"MIMICS"
8,7.30355942051786,"MIMICS"
9,10.6255714424409,"MIMICS"
10,9.12662880991768,"MIMICS"
11,8.12013336512794,"MIMICS"
12,7.59681465147012,"MIMICS"
13,8.17415251135246,"MIMICS"
14,7.81165823202983,"MIMICS"
15,9.31403693138465,"MIMICS"
16,8.42300962683384,"MIMICS"
17,8.74477548076438,"MIMICS"
18,9.12308702886713,"MIMICS"
19,8.35155354889418,"MIMICS"
20,9.43485655340681,"MIMICS"
21,5.9823787994479,"MIMICS"
22,6.61101073135414,"MIMICS"
26,8.54569702183772,"MIMICS"
27,11.815870243672,"MIMICS"
28,8.30274435415413,"MIMICS"
30,9.28577937004142,"MIMICS"
31,9.3779492480807,"MIMICS"
32,11.1436104913642,"MIMICS"
33,7.39261480907566,"MIMICS"
34,10.0757800356283,"MIMICS"
35,7.58989727433984,"MIMICS"
36,7.52044912022164,"MIMICS"
37,8.98089834021474,"MIMICS"
38,10.7880733943615,"MIMICS"
39,8.50645629772899,"MIMICS"
40,6.84027312945516,"MIMICS"
41,10.1839245160072,"MIMICS"
42,7.38068653187576,"MIMICS"
43,9.61229327209937,"MIMICS"
44,9.57682193878085,"MIMICS"
45,8.30452360285945,"MIMICS"
46,6.64269738426727,"MIMICS"
47,6.27377883056953,"MIMICS"
48,14.5071234068472,"MIMICS"
49,7.21240518564726,"MIMICS"
50,9.68420962300837,"MIMICS"
51,1.21097312531641,"MIMICS"
54,10.4630571056336,"MIMICS"
55,5.9565328565589,"MIMICS"
60,6.60635507083091,"MIMICS"
63,6.46259622976898,"MIMICS"
66,8.16836920650697,"MIMICS"
77,6.61282676830034,"MIMICS"
84,7.15304700036669,"MIMICS"
91,6.88273093968685,"MIMICS"
102,9.26556014785372,"MIMICS"
110,7.3223158014789,"MIMICS"
118,6.76316848476889,"MIMICS"
121,6.89018161861548,"MIMICS"
146,10.1718196865808,"MIMICS"
150,8.91942049865166,"MIMICS"
159,9.93495300251016,"MIMICS"
166,8.4098768483466,"MIMICS"
193,18.8822098893445,"MIMICS"
194,14.8306384954075,"MIMICS"
195,16.2407127532457,"MIMICS"
196,15.5462552564927,"MIMICS"
197,16.118817005437,"MIMICS"
198,16.2716491192367,"MIMICS"
199,10.7405618196053,"MIMICS"
200,16.7802348411098,"MIMICS"
201,20.7266987101551,"MIMICS"
202,18.2973654970733,"MIMICS"
203,10.8779776849428,"MIMICS"
204,9.98492236255372,"MIMICS"
205,11.1728920797877,"MIMICS"
206,11.1732132043784,"MIMICS"
207,18.0489705774562,"MIMICS"
208,12.8835051568355,"MIMICS"
209,12.4285425599449,"MIMICS"
210,13.5038890454931,"MIMICS"
211,11.680444130363,"MIMICS"
212,12.512497321533,"MIMICS"
213,21.69822278975,"MIMICS"
216,11.3213628675154,"MIMICS"
217,15.4557496401663,"MIMICS"
218,8.39275819984911,"MIMICS"
219,8.93310395692744,"MIMICS"
220,9.50763366450781,"MIMICS"
221,8.76144863795504,"MIMICS"
222,11.7264752850211,"MIMICS"
223,16.4087998146295,"MIMICS"
224,15.0893396767791,"MIMICS"
225,10.7898979831853,"MIMICS"
226,15.0424441539976,"MIMICS"
227,8.70922406782949,"MIMICS"
228,9.24910078755407,"MIMICS"
229,11.2847901227525,"MIMICS"
230,9.26915366637218,"MIMICS"
231,13.1054993572054,"MIMICS"
232,13.9372575174912,"MIMICS"
233,9.77039781686002,"MIMICS"
234,20.1856227428514,"MIMICS"
235,17.3584981086245,"MIMICS"
236,17.9973433926688,"MIMICS"
237,14.0511535919421,"MIMICS"
238,14.6756176259777,"MIMICS"
239,16.6131966817099,"MIMICS"
241,7.02523451920261,"MIMICS"
242,8.00690662180521,"MIMICS"
243,6.52323837252285,"MIMICS"
244,14.440643201051,"MIMICS"
245,8.39204180103425,"MIMICS"
246,9.30315816151491,"MIMICS"
247,6.93592232985754,"MIMICS"
249,6.94136522592012,"MIMICS"
250,7.00015260431185,"MIMICS"
251,6.85987971739388,"MIMICS"
253,8.80535853318897,"MIMICS"
254,8.34227542624242,"MIMICS"
255,7.86908928744701,"MIMICS"
257,14.6693234268346,"MIMICS"
258,6.66422540781393,"MIMICS"
259,7.77075484723027,"MIMICS"
260,8.61899041848747,"MIMICS"
261,6.93882614248366,"MIMICS"
262,9.66816786953327,"MIMICS"
263,11.2671174305576,"MIMICS"
264,8.75771024476898,"MIMICS"
265,7.43092601574833,"MIMICS"
266,9.79083040861259,"MIMICS"
267,9.22096898634549,"MIMICS"
268,7.62908018826735,"MIMICS"
269,7.84530105291608,"MIMICS"
270,8.43786429771444,"MIMICS"
271,8.93105096367603,"MIMICS"
273,9.00474600210835,"MIMICS"
274,7.29065554754626,"MIMICS"
275,11.3010922878064,"MIMICS"
276,11.5256313699503,"MIMICS"
278,6.1289168929719,"MIMICS"
283,2.98628971197065,"MIMICS"
286,4.26462468039819,"MIMICS"
287,3.72033042326332,"MIMICS"
288,3.90337410887003,"MIMICS"
289,3.44543170433818,"MIMICS"
290,4.36687894863916,"MIMICS"
291,3.38842409068911,"MIMICS"
292,6.13808196656201,"MIMICS"
293,5.37291632803891,"MIMICS"
294,5.47987841272832,"MIMICS"
295,4.0154761552349,"MIMICS"
296,3.44412312635783,"MIMICS"
297,6.04083718551849,"MIMICS"
298,3.47142111901374,"MIMICS"
299,3.65145059747962,"MIMICS"
300,3.19168199843357,"MIMICS"
301,3.71592840465191,"MIMICS"
302,3.80238824171178,"MIMICS"
303,3.80593362596722,"MIMICS"
306,5.12160833843596,"MIMICS"
309,3.01679789177372,"MIMICS"
310,3.06677186675756,"MIMICS"
311,3.23121003193055,"MIMICS"
319,3.46024641709665,"MIMICS"
320,3.77894454365628,"MIMICS"
321,4.36142088815104,"MIMICS"
322,4.43613028753612,"MIMICS"
323,3.60719221385235,"MIMICS"
324,3.0039123683027,"MIMICS"
325,4.431829485908,"MIMICS"
326,4.20978447207133,"MIMICS"
327,3.49147688128673,"MIMICS"
328,3.92110291587093,"MIMICS"
329,3.47451436595323,"MIMICS"
330,4.05299426449988,"MIMICS"
331,3.0050221752736,"MIMICS"
332,3.33860153687443,"MIMICS"
333,3.06235425506582,"MIMICS"
334,5.54635679535916,"MIMICS"
335,4.74623023575466,"MIMICS"
336,6.24838131009538,"MIMICS"
338,7.25068426836351,"MIMICS"
339,10.2337100221179,"MIMICS"
340,9.56469592845631,"MIMICS"
341,9.93144279673932,"MIMICS"
342,10.5520011874861,"MIMICS"
343,7.8229976573865,"MIMICS"
344,7.6354028289101,"MIMICS"
345,8.47168726266899,"MIMICS"
346,7.346889327461,"MIMICS"
347,7.78129039889136,"MIMICS"
348,6.69395162770045,"MIMICS"
349,7.88218441198193,"MIMICS"
350,6.05654779563038,"MIMICS"
351,9.63141608383139,"MIMICS"
352,13.6745656997473,"MIMICS"
353,8.28632955274947,"MIMICS"
354,9.25115014149457,"MIMICS"
355,10.8828708467674,"MIMICS"
356,13.2650381493699,"MIMICS"
357,9.45553028585651,"MIMICS"
358,9.99909217373101,"MIMICS"
359,9.87933689803214,"MIMICS"
360,11.1880436292119,"MIMICS"
361,7.88653663731303,"MIMICS"
362,10.105689410061,"MIMICS"
363,15.284786184916,"MIMICS"
364,15.0946322198304,"MIMICS"
365,13.3357354122789,"MIMICS"
366,6.79277245626693,"MIMICS"
367,9.06870385452016,"MIMICS"
368,7.15859773835718,"MIMICS"
369,8.79126876906983,"MIMICS"
370,11.7486418581281,"MIMICS"
371,8.46652518597369,"MIMICS"
372,7.57032522470382,"MIMICS"
373,10.4303298700362,"MIMICS"
374,10.8166715546856,"MIMICS"
375,7.36241898736467,"MIMICS"
376,9.13498613887748,"MIMICS"
377,11.3918604299412,"MIMICS"
378,11.4766641825011,"MIMICS"
379,7.76339408210467,"MIMICS"
380,7.60046199860593,"MIMICS"
381,6.7820769790363,"MIMICS"
382,4.77585866371108,"MIMICS"
383,12.5268191991512,"MIMICS"
384,10.0556898914923,"MIMICS"
386,12.8374384965396,"MIMICS"
387,11.8871908256823,"MIMICS"
388,10.9320423956203,"MIMICS"
389,10.7070820354123,"MIMICS"
390,10.9242454463584,"MIMICS"
391,8.26804879086939,"MIMICS"
392,9.56313684236902,"MIMICS"
393,6.14457874539794,"MIMICS"
394,7.55473569278781,"MIMICS"
395,9.38071079126642,"MIMICS"
396,11.4747225341422,"MIMICS"
397,8.75602679233519,"MIMICS"
398,5.45351544274326,"MIMICS"
399,2.75564863018392,"MIMICS"
400,3.26754276325227,"MIMICS"
401,3.05591463981319,"MIMICS"
402,5.10622809167767,"MIMICS"
403,3.32201921152057,"MIMICS"
404,5.13668947195778,"MIMICS"
405,6.66801326122993,"MIMICS"
406,11.5600183317472,"MIMICS"
407,15.1671072968237,"MIMICS"
408,12.0807600905566,"MIMICS"
409,15.6912851445996,"MIMICS"
410,10.0740548765938,"MIMICS"
411,12.2123684572622,"MIMICS"
412,16.3468288473942,"MIMICS"
413,13.6748272423489,"MIMICS"
415,26.3736041075812,"MIMICS"
417,12.4372475039565,"MIMICS"
418,21.5123697563762,"MIMICS"
419,13.6960337020219,"MIMICS"
420,13.714539074911,"MIMICS"
421,13.155593262765,"MIMICS"
422,18.0686143826988,"MIMICS"
423,16.6462287993483,"MIMICS"
424,13.5133894455429,"MIMICS"
425,18.8485095721025,"MIMICS"
426,17.2045023475823,"MIMICS"
427,12.2396735059296,"MIMICS"
429,17.5304441754572,"MIMICS"
430,15.3814630433176,"MIMICS"
431,13.2332041200751,"MIMICS"
432,27.7968151631578,"MIMICS"
433,15.8930865863602,"MIMICS"
434,16.4432427114701,"MIMICS"
435,11.1704236073587,"MIMICS"
436,10.7200129646912,"MIMICS"
437,12.229551162535,"MIMICS"
439,29.4641715941895,"MIMICS"
440,15.8064874205398,"MIMICS"
441,36.9791411365362,"MIMICS"
442,14.22602286091,"MIMICS"
443,16.0991611943184,"MIMICS"
444,10.1819330957227,"MIMICS"
445,10.8556599191545,"MIMICS"
446,11.2378218163217,"MIMICS"
447,12.6939947928529,"MIMICS"
448,11.0597043942785,"MIMICS"
449,9.92619701496691,"MIMICS"
450,11.8312072864254,"MIMICS"
451,11.0435961410989,"MIMICS"
452,11.3063260151162,"MIMICS"
454,11.8595542903064,"MIMICS"
455,19.2552482074775,"MIMICS"
456,14.2002449679054,"MIMICS"
457,12.7610207108951,"MIMICS"
458,24.0120342046436,"MIMICS"
460,19.3475790286571,"MIMICS"
461,5.09308788415781,"MIMICS"
462,6.09133352229318,"MIMICS"
463,8.58526347959792,"MIMICS"
464,6.14531476054939,"MIMICS"
465,4.44251238855559,"MIMICS"
466,5.7801915769906,"MIMICS"
467,11.8109789275387,"MIMICS"
468,6.53889184463389,"MIMICS"
469,8.04274247996915,"MIMICS"
470,5.68584381836393,"MIMICS"
472,6.477752800658,"MIMICS"
473,5.45468564421814,"MIMICS"
474,6.98099203600383,"MIMICS"
475,6.05328761843652,"MIMICS"
476,6.83420021704481,"MIMICS"
477,7.06258912698221,"MIMICS"
478,5.58096301411466,"MIMICS"
479,6.31977387646507,"MIMICS"
480,7.50976184161947,"MIMICS"
481,5.88298387974308,"MIMICS"
482,4.90309422523767,"MIMICS"
483,5.67550563452657,"MIMICS"
484,6.88900502687832,"MIMICS"
485,9.26587780328766,"MIMICS"
486,6.36644224937752,"MIMICS"
487,9.58226596651718,"MIMICS"
488,5.69827217367573,"MIMICS"
489,5.49953813508901,"MIMICS"
490,5.10928176071738,"MIMICS"
492,7.20400324459315,"MIMICS"
493,6.43909752075353,"MIMICS"
494,6.2486983219118,"MIMICS"
495,7.18103398617021,"MIMICS"
496,6.07172979969898,"MIMICS"
497,6.47617207807307,"MIMICS"
498,7.20052529547072,"MIMICS"
499,5.24098471249716,"MIMICS"
500,5.25269984692565,"MIMICS"
501,4.88120751209362,"MIMICS"
502,4.78609928824315,"MIMICS"
503,5.11279982534294,"MIMICS"
504,6.43786286626386,"MIMICS"
505,6.52773367941465,"MIMICS"
506,8.91160353270818,"MIMICS"
507,11.2522698101767,"MIMICS"
508,9.65455252325684,"MIMICS"
509,9.83212365084795,"MIMICS"
510,10.5908147320905,"MIMICS"
511,9.24393870821667,"MIMICS"
512,9.49358157544143,"MIMICS"
513,15.0721312618697,"MIMICS"
514,15.947147674986,"MIMICS"
515,11.8824359864602,"MIMICS"
516,10.8026598743077,"MIMICS"
517,13.1330420674967,"MIMICS"
518,15.4755673590972,"MIMICS"
519,11.2006339735081,"MIMICS"
520,13.0892918930416,"MIMICS"
521,17.2566632515101,"MIMICS"
522,15.7020788848073,"MIMICS"
523,14.0521865958614,"MIMICS"
524,11.9950096319615,"MIMICS"
525,15.1524355227203,"MIMICS"
526,10.1710697011764,"MIMICS"
527,11.2175884533801,"MIMICS"
528,9.04178788142337,"MIMICS"
529,8.78313879435195,"MIMICS"
531,15.783159075819,"MIMICS"
532,13.0286613660689,"MIMICS"
533,15.4924723704566,"MIMICS"
536,14.084859214527,"MIMICS"
537,13.2615519444375,"MIMICS"
538,13.3305487485347,"MIMICS"
545,11.6613701019794,"MIMICS"
546,15.3772847949167,"MIMICS"
548,12.5076223354749,"MIMICS"
549,11.1388728243804,"MIMICS"
550,13.4629528293304,"MIMICS"
551,10.5991395230479,"MIMICS"
552,8.93639974727251,"MIMICS"
553,8.59622029200619,"MIMICS"
554,11.4992618384658,"MIMICS"
555,10.9406872842341,"MIMICS"
556,9.60315653700978,"MIMICS"
557,10.0157128734352,"MIMICS"
558,16.4647053016627,"MIMICS"
559,11.3090755586059,"MIMICS"
560,8.36921346358958,"MIMICS"
561,7.84494562788719,"MIMICS"
562,10.2005013786079,"MIMICS"
563,10.9482797596267,"MIMICS"
564,6.11538409564436,"MIMICS"
565,9.34588503069906,"MIMICS"
566,13.5449131821604,"MIMICS"
568,4.85340621278433,"MIMICS"
569,6.17083921236116,"MIMICS"
570,5.23707430404491,"MIMICS"
571,5.16552535288797,"MIMICS"
572,6.65541312270703,"MIMICS"
573,14.0796644110079,"MIMICS"
574,13.9072334343001,"MIMICS"
575,13.2264089522806,"MIMICS"
576,10.6583041265433,"MIMICS"
577,11.3788129663651,"MIMICS"
578,4.91219589014013,"MIMICS"
579,4.19550424405114,"MIMICS"
582,5.44582393015186,"MIMICS"
583,4.44062545473677,"MIMICS"
585,11.6370394085356,"MIMICS"
587,7.3812818973118,"MIMICS"
588,7.82124167656802,"MIMICS"
589,8.43626582968919,"MIMICS"
590,6.97406321252865,"MIMICS"
591,9.04468409546884,"MIMICS"
592,7.60257680092094,"MIMICS"
593,11.0936222632248,"MIMICS"
594,10.7177114285254,"MIMICS"
595,9.28150932350455,"MIMICS"
596,10.3481345533698,"MIMICS"
597,8.93172003788827,"MIMICS"
598,9.03868612930437,"MIMICS"
599,10.2249722581378,"MIMICS"
600,9.93087813365941,"MIMICS"
601,10.8346854571296,"MIMICS"
602,12.8484448100206,"MIMICS"
603,9.65945929387527,"MIMICS"
604,9.72316913577187,"MIMICS"
605,11.2932004230158,"MIMICS"
607,11.4942460810798,"MIMICS"
608,11.3560524125534,"MIMICS"
609,10.561990181638,"MIMICS"
610,14.0225968996767,"MIMICS"
611,11.8617636607967,"MIMICS"
612,10.7639055566484,"MIMICS"
613,9.15417484097736,"MIMICS"
614,10.060254250813,"MIMICS"
615,10.1688985837368,"MIMICS"
616,11.4293775976342,"MIMICS"
617,9.47490829300229,"MIMICS"
618,9.16174051691137,"MIMICS"
619,12.5994514152588,"MIMICS"
620,11.2370691286386,"MIMICS"
621,14.1526735099702,"MIMICS"
622,10.1616578701273,"MIMICS"
623,10.7594496923734,"MIMICS"
624,11.5077749916262,"MIMICS"
