"Set","Soil_Organic_Carbon_kg_m2","Type"
1,5.30224736773472,"MIMICS"
2,4.93087871635777,"MIMICS"
3,4.3855435295293,"MIMICS"
4,4.52877733220802,"MIMICS"
5,5.09413431169311,"MIMICS"
6,4.19103889509015,"MIMICS"
7,4.85058212611514,"MIMICS"
8,4.33300410662566,"MIMICS"
9,5.94175640338817,"MIMICS"
10,5.52463680035323,"MIMICS"
11,4.8919963650009,"MIMICS"
12,4.61880138185183,"MIMICS"
13,4.84577709879201,"MIMICS"
14,4.68903055619209,"MIMICS"
15,5.41293523561915,"MIMICS"
16,5.01290486781118,"MIMICS"
17,5.19388438232975,"MIMICS"
18,5.3178505991462,"MIMICS"
19,4.96465023137463,"MIMICS"
20,5.59399352872869,"MIMICS"
21,3.6705402236618,"MIMICS"
22,4.03633473003829,"MIMICS"
26,5.14917300111039,"MIMICS"
27,6.96098511288326,"MIMICS"
28,4.9042398390943,"MIMICS"
30,5.46534604759088,"MIMICS"
31,5.49675296609887,"MIMICS"
32,6.35008220529409,"MIMICS"
33,4.48962852877654,"MIMICS"
34,5.91660670935702,"MIMICS"
35,4.59157735748381,"MIMICS"
36,4.57339565357656,"MIMICS"
37,5.34237117227913,"MIMICS"
38,6.42572926163819,"MIMICS"
39,4.8145753519758,"MIMICS"
40,4.15609643773326,"MIMICS"
41,6.0263292453193,"MIMICS"
42,4.44026433670914,"MIMICS"
43,5.40106356060392,"MIMICS"
44,5.43820100788146,"MIMICS"
45,4.91384137696167,"MIMICS"
46,3.9883283768419,"MIMICS"
47,3.68957133524231,"MIMICS"
48,7.65864368581823,"MIMICS"
49,4.20507711511693,"MIMICS"
50,4.88691074025137,"MIMICS"
51,0.774244681243512,"MIMICS"
54,6.1057787609027,"MIMICS"
55,3.63109115688672,"MIMICS"
60,4.04487340444383,"MIMICS"
63,4.00519340290336,"MIMICS"
66,4.93168345011912,"MIMICS"
77,4.06434678129835,"MIMICS"
84,4.32268709026852,"MIMICS"
91,4.19717440048529,"MIMICS"
102,5.38442803993624,"MIMICS"
110,4.40580596952114,"MIMICS"
118,4.13242433828198,"MIMICS"
121,4.19093983174421,"MIMICS"
146,5.81941066414141,"MIMICS"
150,5.21657793530956,"MIMICS"
159,5.70096419041765,"MIMICS"
166,4.93196641699428,"MIMICS"
193,9.5929401702511,"MIMICS"
194,7.44159550282166,"MIMICS"
195,8.02928047197371,"MIMICS"
196,7.7703123666259,"MIMICS"
197,8.02836401247917,"MIMICS"
198,8.12523128298184,"MIMICS"
199,5.56545875934293,"MIMICS"
200,8.3709097382391,"MIMICS"
201,11.018974659218,"MIMICS"
202,9.23533642268403,"MIMICS"
203,5.82648978863567,"MIMICS"
204,5.43071306521542,"MIMICS"
205,5.98196075987893,"MIMICS"
206,6.01597140064773,"MIMICS"
207,9.25579289587247,"MIMICS"
208,6.78574334682038,"MIMICS"
209,6.561171671834,"MIMICS"
210,7.06272394636271,"MIMICS"
211,6.2393752991186,"MIMICS"
212,6.59107836167296,"MIMICS"
213,12.2711670116951,"MIMICS"
216,6.00423042707229,"MIMICS"
217,7.9874483314866,"MIMICS"
218,4.64158444254552,"MIMICS"
219,4.9305268339481,"MIMICS"
220,5.16635358813174,"MIMICS"
221,4.81286113572506,"MIMICS"
222,6.14856602739321,"MIMICS"
223,8.48515355628762,"MIMICS"
224,7.7948688876356,"MIMICS"
225,5.75976350146194,"MIMICS"
226,7.70528830896293,"MIMICS"
227,4.8107621510509,"MIMICS"
228,5.08421939838191,"MIMICS"
229,5.98173935005308,"MIMICS"
230,5.06483181713263,"MIMICS"
231,6.82153252794713,"MIMICS"
232,7.22724553968004,"MIMICS"
233,5.30298355012069,"MIMICS"
234,10.8601294142302,"MIMICS"
235,9.01018916729445,"MIMICS"
236,9.39126479965754,"MIMICS"
237,7.27869487418566,"MIMICS"
238,7.57520364311175,"MIMICS"
239,8.58909144501575,"MIMICS"
241,3.6359970599258,"MIMICS"
242,4.05302895398159,"MIMICS"
243,3.42111527578023,"MIMICS"
244,7.46050782478046,"MIMICS"
245,4.28523204696424,"MIMICS"
246,4.78425192195583,"MIMICS"
247,3.68438035091761,"MIMICS"
249,3.68295042399281,"MIMICS"
250,3.68811543712426,"MIMICS"
251,3.60751199062836,"MIMICS"
253,4.19812911694844,"MIMICS"
254,3.96349331604125,"MIMICS"
255,3.75476950205417,"MIMICS"
257,7.60159743216876,"MIMICS"
258,3.4435011461592,"MIMICS"
259,4.04979764896081,"MIMICS"
260,4.40917267764601,"MIMICS"
261,3.68019189938918,"MIMICS"
262,4.84662529422064,"MIMICS"
