"SSN","Soil_Organic_Carbon_kg_m2","Type"
"icr005934",3.15270840920762,"MIMICS"
"icr005940",3.08951924610835,"MIMICS"
"icr005950",2.41227323992073,"MIMICS"
"icr005952",2.53048574526999,"MIMICS"
"icr005958",3.03129709433081,"MIMICS"
"icr005971",2.97313783397449,"MIMICS"
"icr005973",2.75353845548912,"MIMICS"
"icr005975",3.10541470074231,"MIMICS"
"icr005977",4.06030641324416,"MIMICS"
"icr005981",3.19660633506085,"MIMICS"
"icr005987",2.84895159981685,"MIMICS"
"icr005988",2.71041890808582,"MIMICS"
"icr005989",3.65934770187492,"MIMICS"
"icr005990",2.66009752360981,"MIMICS"
"icr005995",3.24734578893142,"MIMICS"
"icr005997",3.0238489585248,"MIMICS"
"icr006000",2.45678146444867,"MIMICS"
"icr006010",3.07336638864709,"MIMICS"
"icr006021",2.08591927534536,"MIMICS"
"icr006027",1.83980045138299,"MIMICS"
"icr006041",2.68353188405824,"MIMICS"
"icr006058",3.09040797014451,"MIMICS"
"icr006084",3.14548617070943,"MIMICS"
"icr006099",2.86136507306726,"MIMICS"
"icr006115",2.57764587541332,"MIMICS"
"icr006130",3.30350590345077,"MIMICS"
"icr006139",3.62759895010485,"MIMICS"
"icr006145",4.17466972363008,"MIMICS"
"icr006162",2.66661224648458,"MIMICS"
"icr006166",3.70825418246983,"MIMICS"
"icr006175",2.73328323212627,"MIMICS"
"icr006176",2.58925456807343,"MIMICS"
"icr006185",3.19751555827591,"MIMICS"
"icr006192",2.51493873838639,"MIMICS"
"icr006454",3.45950540848301,"MIMICS"
"icr006474",2.6418230569892,"MIMICS"
"icr006492",2.34873922057575,"MIMICS"
"icr006510",2.80804537898927,"MIMICS"
"icr006530",4.01972694443871,"MIMICS"
"icr006570",4.18731468999635,"MIMICS"
"icr006586",3.24148161798887,"MIMICS"
"icr006626",3.01646222236729,"MIMICS"
"icr006684",2.81085251673184,"MIMICS"
"icr006704",5.26750456807689,"MIMICS"
"icr006744",3.35064361527072,"MIMICS"
"icr007987",4.09896700771783,"MIMICS"
"icr010535",0.0918336004919773,"MIMICS"
"icr015592",2.48562170014559,"MIMICS"
"icr020848",1.88085855872296,"MIMICS"
"icr020868",2.20733481525339,"MIMICS"
"icr020888",2.84470493565024,"MIMICS"
"icr020908",2.85023805755822,"MIMICS"
"icr020947",2.33577497722167,"MIMICS"
"icr020970",2.31940047193422,"MIMICS"
"icr020986",2.27010493633048,"MIMICS"
"icr021023",2.99624805486952,"MIMICS"
"icr021063",2.35305903252779,"MIMICS"
"icr021103",2.16542426913452,"MIMICS"
"icr021123",2.23142765829643,"MIMICS"
"icr024956",3.79397124201041,"MIMICS"
"icr024976",3.36491416004682,"MIMICS"
"icr024994",3.6944327014926,"MIMICS"
"icr025016",3.07304931919885,"MIMICS"
"icr030033",8.47412089754781,"MIMICS"
"icr030037",6.6253087843118,"MIMICS"
"icr030039",5.90206400695955,"MIMICS"
"icr030043",6.89969538382907,"MIMICS"
"icr030051",6.99680572139221,"MIMICS"
"icr030055",7.1776276268319,"MIMICS"
"icr030063",4.76511771754983,"MIMICS"
"icr030083",7.26189942482854,"MIMICS"
"icr030097",9.14071730516744,"MIMICS"
"icr030101",8.16669543737605,"MIMICS"
"icr030113",3.83641255569162,"MIMICS"
"icr030115",3.6793642422232,"MIMICS"
"icr030119",5.23022392631347,"MIMICS"
"icr030123",3.95271499269612,"MIMICS"
"icr030127",6.67253043794536,"MIMICS"
"icr030129",4.57921943897947,"MIMICS"
"icr030131",4.34628077082695,"MIMICS"
"icr030133",5.18659714157174,"MIMICS"
"icr030137",5.54334837789604,"MIMICS"
"icr030139",4.6751657214956,"MIMICS"
"icr030145",10.1510890112122,"MIMICS"
"icr030174",5.01408873672211,"MIMICS"
"icr030176",7.0772102755667,"MIMICS"
"icr030181",3.78883108717672,"MIMICS"
"icr030185",3.08633778775524,"MIMICS"
"icr030190",4.23769107368318,"MIMICS"
"icr030192",3.91940279576779,"MIMICS"
"icr030206",5.150333744264,"MIMICS"
"icr030214",7.50769817719501,"MIMICS"
"icr030232",6.87513566945857,"MIMICS"
"icr030234",4.8898668095818,"MIMICS"
"icr030244",6.50682425126973,"MIMICS"
"icr030260",4.06899675666926,"MIMICS"
"icr030268",3.20637757109442,"MIMICS"
"icr030270",5.08557588447769,"MIMICS"
"icr030282",4.28537085797007,"MIMICS"
"icr030284",5.8875495071587,"MIMICS"
"icr030288",6.31028675980692,"MIMICS"
"icr030300",4.51040817576342,"MIMICS"
"icr030310",9.43679370398715,"MIMICS"
"icr030323",7.89494608088397,"MIMICS"
"icr030325",8.22487624815416,"MIMICS"
"icr030326",6.34928553935224,"MIMICS"
"icr030328",6.62621911761642,"MIMICS"
"icr030330",7.5442298514078,"MIMICS"
"icr030334",2.18013995609135,"MIMICS"
"icr030335",2.42960143294532,"MIMICS"
"icr030345",2.04003078573501,"MIMICS"
"icr030346",4.84966765234392,"MIMICS"
"icr030351",1.96192273705205,"MIMICS"
"icr030369",2.46239972146089,"MIMICS"
"icr030370",1.65541995175577,"MIMICS"
"icr030375",1.64633268717308,"MIMICS"
"icr030379",1.60650044159533,"MIMICS"
"icr030381",1.52817140907264,"MIMICS"
"icr030386",2.52128757097616,"MIMICS"
"icr030393",2.26084549512991,"MIMICS"
"icr030397",2.14600743084548,"MIMICS"
"icr030409",4.83038359941428,"MIMICS"
"icr030411",2.09053495482122,"MIMICS"
"icr030419",1.85810935629861,"MIMICS"
"icr030420",2.0817217433745,"MIMICS"
"icr030422",1.6411338277356,"MIMICS"
"icr030424",2.48667208581201,"MIMICS"
"icr030425",3.10891170247795,"MIMICS"
"icr030426",2.44247658501451,"MIMICS"
"icr030427",1.75313950341091,"MIMICS"
"icr030428",2.74035077114675,"MIMICS"
"icr030432",2.84361829312921,"MIMICS"
"icr030434",1.7994120848326,"MIMICS"
"icr030435",1.82778429135778,"MIMICS"
"icr030480",2.49153884983557,"MIMICS"
"icr030482",2.67173312054191,"MIMICS"
"icr030489",2.6354325085993,"MIMICS"
"icr030493",1.6531645080205,"MIMICS"
"icr030513",3.37126681932872,"MIMICS"
"icr030515",3.37161974321954,"MIMICS"
"icr030547",1.92047481790335,"MIMICS"
"icr033391",0.514914655003446,"MIMICS"
"icr033396",0.747676578890918,"MIMICS"
"icr033398",0.791673976316362,"MIMICS"
"icr033400",0.693391649610563,"MIMICS"
"icr033402",0.591237086151047,"MIMICS"
"icr033404",0.888800027757909,"MIMICS"
"icr033406",0.581187439562062,"MIMICS"
"icr033411",1.3385703689313,"MIMICS"
"icr033413",0.99442170680804,"MIMICS"
"icr033415",1.1613088829724,"MIMICS"
"icr033417",0.83164709435652,"MIMICS"
"icr033419",0.72095205674176,"MIMICS"
"icr033447",1.29757295020146,"MIMICS"
"icr033451",0.700627763591857,"MIMICS"
"icr033452",0.73405010713058,"MIMICS"
"icr033470",0.622039805649524,"MIMICS"
"icr033472",0.799392445211609,"MIMICS"
"icr033474",0.73271217387672,"MIMICS"
"icr033476",0.778578247616458,"MIMICS"
"icr033490",1.24411212863042,"MIMICS"
"icr033508",0.526990105871314,"MIMICS"
"icr033509",0.526883442651823,"MIMICS"
"icr033511",0.553715269979298,"MIMICS"
"icr033533",0.667435765317305,"MIMICS"
"icr033535",0.736677469772803,"MIMICS"
"icr033541",0.857612431345531,"MIMICS"
"icr033545",0.775446945914097,"MIMICS"
"icr033551",0.600574011628506,"MIMICS"
"icr033553",0.504610686798069,"MIMICS"
"icr033555",0.759897718195711,"MIMICS"
"icr033557",0.710521792616887,"MIMICS"
"icr033559",0.610922061280202,"MIMICS"
"icr033561",0.691684839358864,"MIMICS"
"icr033568",0.565809897216334,"MIMICS"
"icr033570",0.664245961207431,"MIMICS"
"icr033571",0.487517856653206,"MIMICS"
"icr033572",0.611031384559523,"MIMICS"
"icr033580",0.496501811498253,"MIMICS"
"icr033584",1.88683000003014,"MIMICS"
"icr033588",1.57699886304825,"MIMICS"
"icr033592",2.10592643422573,"MIMICS"
"icr033598",2.34421666578004,"MIMICS"
"icr033602",2.89832090693136,"MIMICS"
"icr033616",2.68752374218662,"MIMICS"
"icr033618",2.6253845309791,"MIMICS"
"icr033619",3.04127597889969,"MIMICS"
"icr033625",2.18209514482851,"MIMICS"
"icr033627",1.85553263619804,"MIMICS"
"icr033631",2.41140018635381,"MIMICS"
"icr033632",1.96758337441043,"MIMICS"
"icr033634",2.07653506520838,"MIMICS"
"icr033636",1.51236853316572,"MIMICS"
"icr033637",1.96753478687131,"MIMICS"
"icr033644",1.93249354713743,"MIMICS"
